ID,Name,item_level,bind,gear_slot,gear_type,unique,primary_stats,secondary_stats,required_level,sell_price,dropped_by,mainstat,distribution,stats,Type,dropped_in,Dungeon,Week,Boss,spec_ids,spec_names,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,Dk,Dh,Druid,Evoker,Hunter,Mage,Monk,Paladin,Priest,Rogue,Shaman,Warlock,Warrior
,Head items for (Mage),0,BoE,Head,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Head (Mage, Hc)",1st/2nd week,4 available in Hc,Hc,,"62, 63, 64","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,,,,,,,
,Head items for (Priest),0,BoE,Head,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Head (Priest, Hc)",1st/2nd week,4 available in Hc,Hc,,"256, 257, 258","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,24%,24%,,,,,,,,,,,,,,,,,,,,,,27%,,,,
,Head items for (Warlock),0,BoE,Head,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Head (Warlock, Hc)",1st/2nd week,4 available in Hc,Hc,,"265, 266, 267","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,
221055,Cinderbrew-Soaked Cowl,437,Soulbound,Head,Cloth,False,Intellect,"Mastery, Versatility",68,"38 gold, 28 silver, 72 copper",I'pa,Int,58% Mastery + 41% Versatility,M>V,Head,Cinderbrew Meadery,Cinderbrew,Hc,2nd,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,33%,0%
221131,Elysian Flame Crown,437,Soulbound,Head,Cloth,False,Intellect,"Mastery, Versatility",68,"38 gold, 73 silver, 12 copper",Prioress Murrpray,Int,62% Mastery + 37% Versatility,M>V,Head,Priory of the Sacred Flame,Priory,Hc,Last,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,50%,0%
221187,Intertwiner's Shadowcowl,437,Soulbound,Head,Cloth,False,Intellect,"Critical Strike, Mastery",68,"38 gold, 13 silver, 26 copper","Izo, the Grand Splicer",Int,62% Mastery + 37% Critical Strike,M>C,Head,City of Threads,City of Threads,both,Last,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,33%,0%
212440,Devotee's Discarded Headdress,571,Soulbound,Head,Cloth,False,Intellect,"Critical Strike, Haste",80,"69 gold, 54 silver, 32 copper",Rasha'nan,Int,66% Haste + 33% Critical Strike,H>C,Head,The Dawnbreaker,Dawnbreaker,both,Last,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,33%,0%
133302,Crown of Enfeebled Bodies,37,Soulbound,Head,Cloth,False,Intellect,"Critical Strike, Haste",32,"0 gold, 2 silver, 58 copper",Erudax,Int,50% Haste + 50% Critical Strike,H>C,Head,Grim Batol,Grim Batol,m0,Last,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,20%,0%,0%,20%,0%,0%,20%,0%
178693,Cocoonsilk Cowl,158,Soulbound,Head,Cloth,False,Intellect,"Haste, Versatility",60,"1 gold, 83 silver, 79 copper",Tred'ova,Int,65% Versatility + 34% Haste,V>H,Head,Mists of Tirna Scithe,Mists of Tirna,m0,Last,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,50%,0%
178732,Abominable Visage,158,Soulbound,Head,Cloth,False,Intellect,"Critical Strike, Mastery",60,"1 gold, 87 silver, 85 copper",Blightbone,Int,62% Critical Strike + 37% Mastery,C>M,Head,The Necrotic Wake,Necrotic Wake,m0,1st,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,50%,0%
231818,Grasping Crown of the Deep,437,Soulbound,Head,Cloth,False,Intellect,"Critical Strike, Haste",68,"39 gold, 67 silver, 47 copper",Viq'Goth,Int,65% Haste + 34% Critical Strike,H>C,Head,Siege of Boralus,Siege of Boralus,m0,Last,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,50%,0%
221125,Helm of the Righteous Crusade,437,Soulbound,Head,Leather,False,"Agility, Intellect","Critical Strike, Mastery",68,"40 gold, 77 silver, 68 copper",Baron Braunpyke,"Agi,Int",58% Critical Strike + 41% Mastery,C>M,Head,Priory of the Sacred Flame,Priory,Hc,2nd,"102, 103, 104, 105, 259, 260, 261, 268, 269, 270, 577, 581","DruidBoomie, DruidCat, DruidBear, DruidResto, RogueSin, RogueOutlaw, RogueSub, MonkBrew, MonkWw, MonkMw, DhHavoc, DhVeng",,,,,50%,50%,,50%,50%,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,,0%,100%,100%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%
221163,Whispering Mask,437,Soulbound,Head,Leather,False,"Agility, Intellect","Mastery, Versatility",68,"41 gold, 52 silver, 60 copper",Ki'katal the Harvester,"Agi,Int",62% Mastery + 37% Versatility,M>V,Head,"Ara-Kara, City of Echoes",Ara-Kara,both,Last,"102, 103, 104, 105, 259, 260, 261, 268, 269, 270, 577, 581","DruidBoomie, DruidCat, DruidBear, DruidResto, RogueSin, RogueOutlaw, RogueSub, MonkBrew, MonkWw, MonkMw, DhHavoc, DhVeng",,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,0%,33%,33%,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%
221081,Guise of the Construct,437,Soulbound,Head,Leather,False,"Agility, Intellect","Critical Strike, Haste",68,"40 gold, 20 silver, 59 copper",Skarmorak,"Agi,Int",60% Critical Strike + 39% Haste,C>H,Head,The Stonevault,Stonevault,both,2nd,"102, 103, 104, 105, 259, 260, 261, 268, 269, 270, 577, 581","DruidBoomie, DruidCat, DruidBear, DruidResto, RogueSin, RogueOutlaw, RogueSub, MonkBrew, MonkWw, MonkMw, DhHavoc, DhVeng",,,,,,50%,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,50%,100%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%
178691,Hood of the Hidden Path,158,Soulbound,Head,Leather,False,"Agility, Intellect","Haste, Mastery",60,"1 gold, 82 silver, 47 copper",Mistcaller,"Agi,Int",65% Haste + 34% Mastery,H>M,Head,Mists of Tirna Scithe,Mists of Tirna,m0,2nd,"102, 103, 104, 105, 259, 260, 261, 268, 269, 270, 577, 581","DruidBoomie, DruidCat, DruidBear, DruidResto, RogueSin, RogueOutlaw, RogueSub, MonkBrew, MonkWw, MonkMw, DhHavoc, DhVeng",,,,,,,33%,33%,,,,,,,,,,,33%,,33%,,,,,,,25%,,25%,,,,,,,,,,0%,33%,50%,0%,0%,0%,50%,0%,0%,33%,0%,0%,0%
231824,Circlet of the Enveloping Leviathan,437,Soulbound,Head,Leather,False,"Agility, Intellect","Mastery, Versatility",68,"40 gold, 54 silver, 69 copper",Viq'Goth,"Agi,Int",62% Versatility + 37% Mastery,V>M,Head,Siege of Boralus,Siege of Boralus,m0,Last,"102, 103, 104, 105, 259, 260, 261, 268, 269, 270, 577, 581","DruidBoomie, DruidCat, DruidBear, DruidResto, RogueSin, RogueOutlaw, RogueSub, MonkBrew, MonkWw, MonkMw, DhHavoc, DhVeng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,33%,50%,0%,0%,0%,50%,0%,0%,50%,0%,0%,0%
221070,"""Azeroth's Greatest BEE.E.O."" Cap",437,Soulbound,Head,Mail,False,"Agility, Intellect","Mastery, Versatility",68,"41 gold, 52 silver, 21 copper",Goldie Baronbottom,"Agi,Int",65% Versatility + 34% Mastery,V>M,Head,Cinderbrew Meadery,Cinderbrew,Hc,Last,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","HunterBm, HunterMm, HunterSv, ShamanEle, ShamanEnh, ShamanResto, EvokerDev, EvokerPres, EvokerAug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,0%,0%,0%,33%,50%,0%,0%,0%,0%,0%,50%,0%,0%
221113,Gloaming Visage,437,Soulbound,Head,Mail,False,"Agility, Intellect","Mastery, Versatility",68,"39 gold, 2 silver, 85 copper",The Darkness,"Agi,Int",65% Mastery + 34% Versatility,M>V,Head,Darkflame Cleft,Darkflame Cleft,Hc,Last,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","HunterBm, HunterMm, HunterSv, ShamanEle, ShamanEnh, ShamanResto, EvokerDev, EvokerPres, EvokerAug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,50%,0%,0%
221156,Cryptbound Headpiece,437,Soulbound,Head,Mail,False,"Agility, Intellect","Haste, Mastery",68,"39 gold, 45 silver, 67 copper",Anub'zekt,"Agi,Int",60% Mastery + 39% Haste,M>H,Head,"Ara-Kara, City of Echoes",Ara-Kara,both,2nd,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","HunterBm, HunterMm, HunterSv, ShamanEle, ShamanEnh, ShamanResto, EvokerDev, EvokerPres, EvokerAug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,50%,0%,0%
133285,Wildhammer Riding Helm,37,Soulbound,Head,Mail,False,"Agility, Intellect","Critical Strike, Haste",32,"0 gold, 2 silver, 61 copper",General Umbriss,"Agi,Int",50% Haste + 50% Critical Strike,H>C,Head,Grim Batol,Grim Batol,m0,1st,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","HunterBm, HunterMm, HunterSv, ShamanEle, ShamanEnh, ShamanResto, EvokerDev, EvokerPres, EvokerAug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,33%,33%,0%,0%,0%,0%,0%,33%,0%,0%
178692,Soulthorn Visage,158,Soulbound,Head,Mail,False,"Agility, Intellect","Haste, Mastery",60,"1 gold, 83 silver, 12 copper",Ingra Maloch,"Agi,Int",65% Mastery + 34% Haste,M>H,Head,Mists of Tirna Scithe,Mists of Tirna,m0,1st,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","HunterBm, HunterMm, HunterSv, ShamanEle, ShamanEnh, ShamanResto, EvokerDev, EvokerPres, EvokerAug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,0%,0%,0%,25%,50%,0%,0%,0%,0%,0%,50%,0%,0%
178738,Rattling Deadeye Hood,158,Soulbound,Head,Mail,False,"Agility, Intellect","Critical Strike, Mastery",60,"1 gold, 73 silver, 81 copper","Amarth, The Harvester","Agi,Int",65% Critical Strike + 34% Mastery,C>M,Head,The Necrotic Wake,Necrotic Wake,m0,2nd,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","HunterBm, HunterMm, HunterSv, ShamanEle, ShamanEnh, ShamanResto, EvokerDev, EvokerPres, EvokerAug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,100%,0%,0%
221100,Waxsteel Greathelm,437,Soulbound,Head,Plate,False,"Strength, Intellect","Haste, Versatility",68,"40 gold, 5 silver, 53 copper",Blazikon,"Str,Int",60% Haste + 39% Versatility,H>V,Head,Darkflame Cleft,Darkflame Cleft,Hc,2nd,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,50%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
221047,Monstrosity's Gaze,437,Soulbound,Head,Plate,False,"Strength, Intellect","Haste, Versatility",68,"40 gold, 3 silver, 94 copper",Voidstone Monstrosity,"Str,Int",60% Versatility + 39% Haste,V>H,Head,The Rookery,Rookery,Hc,Last,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,25%,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,,,25%,25%,33%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,33%
178694,Wrathbark Greathelm,158,Soulbound,Head,Plate,False,"Strength, Intellect","Haste, Mastery",60,"1 gold, 84 silver, 45 copper",Ingra Maloch,"Str,Int",65% Haste + 34% Mastery,H>M,Head,Mists of Tirna Scithe,Mists of Tirna,m0,1st,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,,,,,,,,,,,,,,,,,,,,,33%,,50%,,,,,,,,,,,,,50%,50%,,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%
178777,Darkfrost Helmet,158,Soulbound,Head,Plate,False,"Strength, Intellect","Haste, Versatility",60,"1 gold, 77 silver, 87 copper",Nalthor the Rimebinder,"Str,Int",59% Versatility + 40% Haste,V>H,Head,The Necrotic Wake,Necrotic Wake,m0,Last,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,33%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
,Head items for (Dk),0,BoE,Head,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Head (Dk, m0)",m0 week,2 available in m0,m0,,"250, 251, 252","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,
